% Model:              phononic_alp0(thickness200,r85,isotrope,full_FBZ).mph
% Version:            COMSOL 6.2.0.290
% Date:               Jul 3 2024, 18:46
% Dimension:          1
% Nodes:              14641
% Expressions:        8
% Description:        Global
% X component of wave number (1/m),Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency
-1.5707963267948963E7,6.484280830035178E9,7.166182605813945E9,7.322362659646346E9,9.360427748896528E9,1.2320500784689854E10,1.2489078314411861E10,1.2505754960819597E10,1.7361536521757008E10
-1.5707963267948963E7,6.4485165538523245E9,7.10538784007493E9,7.290082492488664E9,9.351673213973335E9,1.2257404169096563E10,1.2422301620982431E10,1.2560065525403685E10,1.733510943461436E10
-1.5707963267948963E7,6.416865762354936E9,6.891079466207318E9,7.412315600731333E9,9.34342523623528E9,1.2193503598105146E10,1.2353746377249657E10,1.2613015159197468E10,1.7309848595292706E10
-1.5707963267948963E7,6.389184424776449E9,6.679963227194108E9,7.532671372356298E9,9.335672267761631E9,1.2128934912013638E10,1.2284027752131046E10,1.2664466791211292E10,1.7285770644514706E10
-1.5707963267948963E7,6.365300922025887E9,6.472608091429138E9,7.650920871257476E9,9.32840324256547E9,1.2063856463654432E10,1.2213753483438093E10,1.2714280278068518E10,1.7262892031355495E10
-1.5707963267948963E7,6.26963169295262E9,6.345016695364834E9,7.76681252030576E9,9.32160759918149E9,1.1998453261186579E10,1.2143522093384155E10,1.276231286447087E10,1.724122854875877E10
-1.5707963267948963E7,6.071705674895041E9,6.328107439069753E9,7.880067116049114E9,9.31527530049208E9,1.1932941859420143E10,1.2073921446506123E10,1.2808419763760122E10,1.722079540233174E10
-1.5707963267948963E7,5.87956071952363E9,6.314324886564044E9,7.990372030678076E9,9.309396851110336E9,1.1867576087188162E10,1.2005527450107794E10,1.2852454870192566E10,1.720160718362653E10
-1.5707963267948963E7,5.693990873355114E9,6.303399234292363E9,8.097374543583721E9,9.30396331259962E9,1.1802653665041063E10,1.1938902709311895E10,1.2894271612816988E10,1.718367781182439E10
-1.5707963267948963E7,5.515856625285337E9,6.295042239414732E9,8.200674318707391E9,9.29896631677368E9,1.1738523693945475E10,1.187459496744864E10,1.2933723957566246E10,1.7167020487478954E10
-1.5707963267948963E7,5.346086021043237E9,6.288951014939535E9,8.299815183789692E9,9.294398077292183E9,1.1675594856024282E10,1.1813135186987871E10,1.2970667559547497E10,1.7151647646791014E10
-1.5707963267948963E7,5.185672912646393E9,6.284812527762982E9,8.39427660948075E9,9.290251399743063E9,1.1614343926766855E10,1.1755035156846443E10,1.3004961061496758E10,1.713757092066465E10
-1.5707963267948963E7,5.035671275680407E9,6.282308779917418E9,8.48346567433973E9,9.286519690374231E9,1.1555323810298834E10,1.1700784549347778E10,1.3036467526998966E10,1.7124801103700266E10
-1.5707963267948963E7,4.897184428219204E9,6.281122620276927E9,8.566710878187158E9,9.28319696362674E9,1.1499169733105877E10,1.1650847394901987E10,1.3065055988599077E10,1.71133481025323E10
-1.5707963267948963E7,4.771348022208156E9,6.280944093056629E9,8.643259942807533E9,9.280277848593102E9,1.1446601455283773E10,1.1605657994413197E10,1.309060308173781E10,1.710322088642591E10
-1.5707963267948963E7,4.659305935634525E9,6.281477182111422E9,8.712284639780989E9,9.277757594516117E9,1.1398418457821852E10,1.1565616347008265E10,1.3112994726147575E10,1.7094427458620575E10
-1.5707963267948963E7,4.562178753180899E9,6.282446759464959E9,8.772896457614717E9,9.275632075424295E9,1.1355484292243155E10,1.1531083230725464E10,1.313212780772164E10,1.7086974826686605E10
